"time","ELI_lon"
76429,197.372792961664
76430,195.762701725097
76431,196.982575417741
76432,196.457042330351
76433,196.374028460395
76434,196.721431146359
76435,195.985445100209
76436,195.624192293885
76437,197.100618171363
76438,198.919198264048
76439,200.527747313007
76440,201.125752688172
76441,200.397550378505
76442,199.160518405231
76443,195.361383278062
76444,193.646226415095
76445,196.610618534938
76446,198.847598140496
76447,202.006803328908
76448,202.805916516389
76449,201.165365258898
76450,199.306682002996
76451,195.30986492018
76452,196.924045682103
76453,202.866089613035
76454,203.522933554059
76455,204.658046811476
76456,202.505822679266
76457,201.53322371997
76458,199.790821008313
76459,199.842822312721
76460,201.205500521376
76461,200.976742997342
76462,201.278077379774
76463,197.554917870572
76464,195.800403225806
76465,197.995679075475
76466,199.074379639988
76467,198.834328207203
76468,203.172011449641
76469,205.36212272684
76470,205.584517678518
76471,206.346395397931
76472,206.463373305527
76473,205.739957220367
76474,206.424816958543
76475,204.174574447271
76476,202.573088963648
76477,202.835455063652
76478,201.611470294558
76479,200.172236156192
76480,198.808617479914
76481,197.427706353643
76482,201.593184979138
76483,201.524127992906
76484,200.791510642491
76485,198.302267556107
76486,197.334346271706
76487,199.215812077043
76488,200.315274474832
76489,202.733279301746
76490,207.559156275141
76491,208.612447484373
76492,209.665288634997
76493,207.382435871844
76494,202.574450333726
76495,206.089426777395
76496,211.307951036612
76497,217.738998127341
76498,221.161283799399
76499,218.22753535702
76500,216.526495702645
76501,218.927778444551
76502,217.04210333902
76503,214.090160019107
76504,214.129054541086
76505,216.228680231265
76506,218.860764075067
76507,219.522602073882
76508,219.89755111211
76509,223.637016688213
76510,225.809713375796
76511,226.617767598843
76512,227.148466716529
76513,224.793406851244
76514,223.427362423569
76515,222.433192873907
76516,221.751212269805
76517,219.821044689188
76518,217.108560032727
76519,218.168968811319
76520,219.793994861914
76521,221.209407075781
76522,222.125530904214
76523,220.665238491403
76524,218.554609029053
76525,219.308201205896
76526,218.099472222222
76527,218.929175575399
76528,218.614430032427
76529,217.674952026865
76530,215.442917731815
76531,215.148974962674
76532,218.265225609025
76533,220.011765381083
76534,216.898974814337
76535,216.978949412026
76536,217.227053008907
76537,218.392197940629
76538,219.144177572082
76539,218.686126658375
76540,219.220307684132
76541,219.061351706037
76542,217.680168986084
76543,216.126056614901
76544,215.858587633005
76545,216.159688053533
76546,216.763089390963
76547,217.067883429481
76548,216.729746235916
76549,217.080635553714
76550,215.290175429778
76551,212.26781731549
76552,212.122357410262
76553,213.710444126075
76554,211.782203872437
76555,210.741574030274
76556,210.587355798421
76557,207.894725654688
76558,208.969089673913
76559,209.461561331974
76560,216.185293571163
76561,215.786761201144
76562,212.891392458268
76563,209.224655678483
76564,208.797346613983
76565,209.868181818182
76566,206.753984517304
76567,202.900930707984
76568,201.164627228525
76569,198.05588337815
76570,197.492389112903
76571,197.120354813204
76572,199.949271995043
76573,203.264956803456
76574,206.216745128093
76575,206.572677453027
76576,206.043989184692
76577,206.925354572396
76578,206.93669189135
76579,207.911011219072
76580,208.638988338789
76581,209.496045495631
76582,211.457110640148
76583,210.495436213118
76584,210.695165598291
76585,212.347823072657
76586,213.076116848131
76587,216.14262299675
76588,216.742809982095
76589,216.561425825418
76590,213.419645911734
76591,210.507909620338
76592,210.848329296488
76593,213.99422298437
76594,217.059384247667
76595,216.306617647059
76596,214.721498142101
76597,214.116622976978
76598,214.312428473335
76599,213.824232081911
76600,212.879017124091
76601,212.916776428817
76602,214.015569493783
76603,211.797392974753
76604,210.887569521691
76605,210.514381524301
76606,209.502732472534
76607,207.31158523165
76608,202.912418831169
76609,202.328828343743
76610,204.090963723776
76611,202.276823625476
76612,200.648573735199
76613,201.381359601645
76614,203.766346762286
76615,204.938708910263
76616,202.144911726352
76617,201.184359483615
76618,202.400302339413
76619,204.686684700172
76620,205.244297377536
76621,204.079171534268
76622,203.331295472918
76623,203.48032808399
76624,202.196809571286
76625,200.941339739122
76626,202.399159345653
76627,203.475647300284
76628,203.548300921706
76629,204.635429201765
76630,206.381978033051
76631,207.068762833676
76632,207.153335761865
76633,205.788035677671
76634,205.875361048071
76635,207.294383787018
76636,207.918027143981
76637,207.681207306207
76638,207.791866088344
76639,208.641506394369
76640,209.639723648445
76641,209.877081870171
76642,209.108285882584
76643,208.892693036475
76644,209.785989533777
76645,210.818176190948
76646,210.519675581971
76647,209.087566059894
76648,208.585994842293
76649,207.23700020452
76650,205.751163547193
76651,205.352990970655
76652,206.992436933386
